2025-10-16T08:36:49+02:00 | ip=::1 | role=Client | email=***@gmail.com | redirect=/stJohnCmsApp/cmsApp/frontend/client/clientDashboard/clientDashboard.php | ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36
2025-10-16T10:40:19+02:00 | ip=::1 | role=Admin | email=***@cms.com | redirect=/stJohnCmsApp/cmsApp/frontend/admin/adminDashboard/adminDashboard.php | ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36
2025-10-16T10:58:32+02:00 | ip=::1 | role=Client | email=***@gmail.com | redirect=/stJohnCmsApp/cmsApp/frontend/client/clientDashboard/clientDashboard.php | ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36
2025-10-16T11:51:06+02:00 | ip=::1 | role=Admin | email=***@cms.com | redirect=/stJohnCmsApp/cmsApp/frontend/admin/adminDashboard/adminDashboard.php | ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36
2025-10-17T03:02:25+02:00 | ip=::1 | role=Client | email=***@gmail.com | redirect=/stJohnCmsApp/cmsApp/frontend/client/clientDashboard/clientDashboard.php | ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36
2025-10-17T03:03:28+02:00 | ip=::1 | role=Admin | email=***@cms.com | redirect=/stJohnCmsApp/cmsApp/frontend/admin/adminDashboard/adminDashboard.php | ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36
2025-10-17T06:28:49+02:00 | ip=::1 | role=Client | email=***@gmail.com | redirect=/stJohnCmsApp/cmsApp/frontend/client/clientDashboard/clientDashboard.php | ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36
2025-10-17T06:29:10+02:00 | ip=::1 | role=Client | email=***@gmail.com | redirect=/stJohnCmsApp/cmsApp/frontend/client/clientDashboard/clientDashboard.php | ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36
2025-10-17T06:29:51+02:00 | ip=::1 | role=Client | email=***@gmail.com | redirect=/stJohnCmsApp/cmsApp/frontend/client/clientDashboard/clientDashboard.php | ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36
2025-10-17T06:30:15+02:00 | ip=::1 | role=Client | email=***@gmail.com | redirect=/stJohnCmsApp/cmsApp/frontend/client/clientDashboard/clientDashboard.php | ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36
2025-10-17T06:36:24+02:00 | ip=::1 | role=Client | email=***@gmail.com | redirect=/stJohnCmsApp/cmsApp/frontend/client/clientDashboard/clientDashboard.php | ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36
